x1	y1	x2	y2	edge_id	perfusion_status
167.24	411.5709999999999	170.798	412.164	3326	1
169.019	884.231	169.612	887.79	3327	1
230.696	419.2809999999999	234.255	418.688	3328	1
234.848	963.107	235.441	966.665	3329	1
291.78	706.91	295.339	706.317	3330	1
312.537	970.817	313.13	974.375	3331	1
438.264	435.2929999999999	441.822	434.69999999999993	3332	1
454.276	395.559	454.869	399.117	3333	1
536.71	236.0279999999999	540.268	235.43499999999997	3334	1
586.526	982.678	587.119	986.236	3335	1
653.541	923.373	654.134	926.931	3336	1
792.907	326.765	793.5	330.323	3337	1
903.807	639.895	907.366	639.3019999999999	3338	1
925.75	712.8399999999999	926.343	716.3979999999999	3339	1
948.286	111.48800000000006	948.879	115.04600000000003	3340	1
986.241	701.5719999999999	986.834	705.131	3341	1
263.314	693.8629999999999	263.907	690.8969999999999	3342	1
493.417	394.37299999999993	496.382	396.15199999999993	3343	1
589.491	279.3209999999999	591.27	276.356	3344	1
597.794	481.55099999999993	600.759	479.77199999999993	3345	1
746.649	405.0469999999999	749.615	406.827	3346	1
867.631	762.656	870.597	760.877	3347	1
1023.01	256.78499999999997	1023.603	253.8199999999999	3348	1
1187.285	1049.099	1189.064	1046.134	3349	1
154.193	718.1779999999999	157.751	718.1779999999999	3350	1
193.334	425.804	196.892	425.804	3351	1
765.034	784.5989999999999	768.592	784.5989999999999	3352	1
772.15	52.18299999999999	775.709	52.18299999999999	3353	1
944.728	874.1499999999999	948.286	874.1499999999999	3354	1
980.311	931.675	983.869	931.675	3355	1
15.419	842.718	16.605	845.683	3356	1
158.344	287.6239999999999	158.344	284.6579999999999	3357	1
193.334	690.8969999999999	193.334	687.9319999999999	3358	1
201.044	716.992	202.23	719.9569999999999	3359	1
482.149	431.7349999999999	482.149	428.7689999999999	3360	1
529.593	340.99799999999993	532.558	339.8119999999999	3361	1
612.62	217.05099999999993	613.806	220.01599999999996	3362	1
654.134	278.135	657.099	276.94899999999996	3363	1
667.181	348.1149999999999	668.367	345.149	3364	1
732.416	756.7259999999999	732.416	753.761	3365	1
763.255	521.285	764.441	518.3199999999999	3366	0
764.441	514.169	767.406	512.982	3367	1
792.907	719.3639999999999	795.279	721.143	3368	1
877.12	594.823	880.085	593.637	3369	1
1087.06	646.419	1088.246	643.453	3370	1
1145.772	1136.871	1145.772	1133.905	3371	1
155.972	289.996	158.344	287.6239999999999	3372	1
731.23	66.41599999999994	733.602	68.78800000000001	3373	1
843.316	800.018	845.689	797.646	3374	1
40.327	941.757	40.92	938.792	3375	1
146.483	1016.481	149.448	1017.075	3376	1
198.079	1047.32	201.044	1046.727	3377	1
213.498	325.57899999999995	216.463	324.986	3378	1
352.271	193.32899999999995	352.864	190.36400000000003	3379	1
352.864	816.624	353.457	819.5889999999999	3380	1
843.316	202.2249999999999	846.282	201.63199999999995	3381	1
862.294	676.664	862.887	679.6289999999999	3382	1
867.038	1141.615	870.004	1141.022	3383	1
892.539	451.8979999999999	893.132	454.8639999999999	3384	1
910.331	139.95399999999995	913.296	139.36099999999988	3385	1
929.309	962.514	932.274	961.921	3386	1
990.986	772.145	991.579	775.1099999999999	3387	1
1032.499	622.6969999999999	1033.685	620.324	3388	1
1071.64	737.155	1072.233	740.1199999999999	3389	1
1109.596	161.8969999999999	1112.561	162.49	3390	1
140.553	227.726	142.925	228.31899999999996	3391	1
919.227	742.4929999999999	921.006	740.1199999999999	3392	1
963.705	938.792	966.078	937.013	3393	1
1049.104	953.025	1050.884	950.653	3394	1
186.811	740.713	189.776	740.713	3395	1
238.999	595.4159999999999	241.964	595.4159999999999	3396	1
359.388	59.299999999999955	362.353	59.299999999999955	3397	1
426.996	1097.136	429.961	1097.136	3398	1
441.822	190.957	444.787	190.957	3399	1
138.774	1100.695	139.96	1098.322	3400	1
160.716	606.684	162.496	608.463	3401	1
338.631	317.27599999999995	341.003	318.462	3402	1
363.539	797.646	364.725	795.2739999999999	3403	0
399.122	35.577999999999975	401.494	35.577999999999975	3404	1
436.484	808.3209999999999	436.484	805.949	3405	1
462.579	789.3439999999999	462.579	786.971	3406	1
601.352	594.823	601.352	592.4509999999999	3407	1
665.995	24.90300000000002	667.774	26.682000000000016	3408	1
826.118	442.41	826.118	440.0369999999999	3409	1
862.294	676.664	862.294	674.2919999999999	3410	1
936.425	102.59199999999989	936.425	100.22000000000004	3411	1
1020.045	464.94499999999994	1021.824	466.7249999999999	3412	1
1170.68	248.48199999999997	1173.052	247.2959999999999	3413	1
40.327	936.42	40.92	938.792	3414	1
276.361	94.28999999999996	278.733	94.88300000000004	3415	1
410.983	837.9739999999999	412.762	836.7869999999999	3416	1
463.765	78.27700000000004	464.358	80.64899999999989	3417	1
494.603	186.80499999999984	496.975	187.3979999999999	3418	1
529.0	780.4479999999999	529.593	782.8199999999999	3419	1
533.151	110.30199999999992	533.745	112.67399999999998	3420	1
655.913	676.664	658.285	676.0709999999999	3421	1
691.496	212.30599999999993	692.089	214.67899999999997	3422	1
727.672	214.0859999999999	730.044	213.4929999999999	3423	1
781.639	475.6199999999999	784.011	475.02699999999993	3424	1
813.071	820.182	813.664	822.554	3425	1
837.979	150.6289999999999	838.572	153.00099999999998	3426	1
864.666	1076.973	867.038	1077.566	3427	1
878.899	215.8649999999999	880.678	214.67899999999997	3428	1
391.413	261.53	393.192	259.75	3429	1
682.6	945.909	684.379	947.688	3430	1
851.026	722.329	852.805	720.55	3431	1
72.945	891.9409999999999	75.317	891.348	3432	1
134.622	269.2389999999999	136.994	269.2389999999999	3433	1
138.774	378.3599999999999	141.146	378.3599999999999	3434	1
507.057	1120.265	509.429	1120.265	3435	1
1177.203	989.201	1177.203	986.829	3436	1
198.672	901.43	199.858	903.209	3437	1
359.388	696.2349999999999	360.574	694.4559999999999	3438	1
730.044	64.63699999999994	731.23	66.41599999999994	3439	1
823.746	664.803	824.932	663.024	3440	0
951.251	209.3409999999999	953.03	208.15499999999997	3441	1
