x	y	d
423.0	1051.0	2.591737359804196
21.0	1050.0	4.825559385786527
31.0	1051.0	2.4127796928932637
342.0	1051.0	2.9926947063768603
516.0	1052.0	1.1590491981145883
101.0	1051.0	2.1161547209001617
312.0	1050.0	4.336809032337532
365.0	1049.0	4.125132627132245
541.0	1049.0	1.7705128520115212
228.0	1049.0	1.7705128520115212
601.0	1048.0	3.477184211507866
922.0	1047.0	2.9926947063768603
240.0	1048.0	2.9926947063768603
249.0	1048.0	1.3383547330709549
325.0	1047.0	1.8927530496663656
382.0	1048.0	1.1590491981145883
441.0	1047.0	1.1590491981145883
654.0	1047.0	1.4963260805776206
225.0	1046.0	0.9463597073875839
372.0	1044.0	3.958954931264172
533.0	1046.0	1.3383547330709549
1192.0	1045.0	3.477184211507866
187.0	1045.0	1.1590491981145883
1091.0	1045.0	1.1590491981145883
210.0	1044.0	2.503857862244075
1086.0	1043.0	0.9463597073875839
309.0	1040.0	3.2783250292046255
346.0	1042.0	1.3383547330709549
381.0	1042.0	2.3181258590841773
1049.0	1043.0	0.6691773665354774
223.0	1040.0	3.84418098585566
248.0	1041.0	3.6036657359591904
26.0	1041.0	1.7705128520115212
650.0	1041.0	1.3383547330709549
881.0	1039.0	5.833818507878177
326.0	1040.0	2.3181258590841773
444.0	1041.0	0.9463597073875839
843.0	1040.0	2.591737359804196
993.0	1039.0	0.6691773665354774
335.0	1038.0	0.9463597073875839
422.0	1036.0	4.336809032337532
900.0	1037.0	2.676733249707221
907.0	1039.0	0.6691773665354774
995.0	1039.0	0.9463597073875839
228.0	1037.0	2.007563810917273
939.0	1034.0	4.636251718168355
853.0	1037.0	1.7705128520115212
181.0	1037.0	0.9463597073875839
592.0	1037.0	1.3383547330709549
399.0	1035.0	4.179057015561565
517.0	1036.0	0.6691773665354774
534.0	1036.0	1.3383547330709549
916.0	1035.0	2.219438926997406
351.0	1035.0	1.1590491981145883
385.0	1035.0	2.4127796928932637
246.0	1034.0	3.0665974553989703
893.0	1035.0	0.6691773665354774
990.0	1029.0	7.803963643667316
894.0	1034.0	0.6691773665354774
850.0	1030.0	5.4775109244945615
874.0	1033.0	0.6691773665354774
1091.0	1032.0	0.6691773665354774
312.0	1025.0	6.2057674131125795
1081.0	1031.0	1.1590491981145883
414.0	1031.0	1.3383547330709549
538.0	1031.0	1.4963260805776206
382.0	1028.0	4.284870387197382
416.0	1030.0	0.6691773665354774
411.0	1030.0	1.639143095431311
38.0	1025.0	8.058049454215698
